FinalWgt,CR1,CR2,UGR3,UGR4,CR5,CR6,CR7,CR8,OR9,CR9,CR10,SR1,SR3,CR11,CR12,CR13,CR14,CR15,CR16,OR13,CR17,CR18,CR19,CR20,OR19,CR21,CR22,CR23,CR24,CR25,UGR31,CR27,CR28,UGR34,UGR35,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,OR45,OR46,OR59,OR60,CR40,CR41,CR42,CR43,UGR54,UGR55,Stratum,PSU
19.86074611,3,2,3,2,2,1,1,1,1,,,2,1,1,1,2,2,1,1,1,1,1,1,1,3,2,1,4,1,1,1,1,1,6,1,1,2,1,1,2,2,3,2,1,,4,1,3,3,1,1,2,4,2,,201801001,1
19.86074611,3,2,3,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,3,1,1,1,1,1,2,3,1,1,3,2,3,3,2,2,2,2,1,1,3,3,1,3,1,4,3,,201801001,1
19.86074611,4,2,3,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,4,2,2,1,1,1,6,1,1,1,3,2,3,1,3,2,2,2,1,1,3,3,2,2,2,4,2,,201801001,1
19.86074611,4,2,3,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,6,1,1,1,2,1,1,1,3,2,2,1,1,1,3,3,1,4,2,4,2,,201801001,1
19.86074611,4,2,3,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,1,6,1,2,1,3,1,2,1,3,2,2,1,1,1,3,3,1,3,3,5,2,,201801001,1
19.86074611,4,2,3,1,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,6,3,2,1,2,1,2,1,2,2,2,1,1,1,3,3,2,4,3,4,2,,201801001,1
19.86074611,4,2,3,1,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,6,1,1,1,3,2,2,1,3,2,2,2,1,1,3,3,2,2,2,4,2,,201801001,1
19.86074611,4,2,3,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,6,1,1,1,2,1,1,1,3,2,2,2,1,1,4,4,2,3,2,5,3,,201801001,1
19.86074611,4,2,3,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,4,2,2,1,1,1,6,1,2,1,3,1,1,1,3,2,2,1,1,1,3,3,1,4,1,4,3,,201801001,1
19.86074611,4,2,3,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,4,1,1,1,1,1,1,1,2,1,3,2,1,3,3,2,2,1,1,1,3,3,1,3,2,5,2,,201801001,1
19.86074611,4,2,3,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,6,1,2,1,3,3,3,3,3,2,2,1,1,1,3,3,1,3,1,5,2,,201801001,1
19.86074611,4,2,3,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,3,2,2,1,1,1,2,1,1,2,1,2,2,3,3,2,2,,1,1,3,3,1,4,1,4,2,,201801001,1
19.86074611,4,2,3,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,6,1,2,1,3,1,1,1,3,2,2,1,1,1,3,3,1,1,1,4,3,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,6,3,2,1,3,1,2,3,3,2,2,2,1,1,3,3,2,3,3,4,3,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,6,1,2,1,3,1,2,1,3,2,2,1,1,1,3,3,1,2,3,5,2,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,4,1,1,1,1,1,2,1,1,1,3,1,2,1,3,2,2,1,1,1,3,3,1,4,2,4,3,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1,1,1,,1,3,1,1,2,3,2,2,1,1,1,3,4,2,1,2,5,3,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,3,2,3,3,2,2,1,1,1,3,3,1,3,2,5,3,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,6,3,1,1,1,1,3,3,3,2,2,2,1,1,3,3,2,3,3,5,2,,201801001,1
19.86074611,4,2,3,3,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,3,1,1,2,1,2,2,4,1,1,1,2,1,6,3,1,3,1,1,3,3,3,2,2,1,1,1,3,3,1,3,2,4,3,,201801001,1
